input,output,instruction
"Artificial Surface 88.34
Vegetation 9.27
Artificial Surface behind Vegetation
",five baseball fields in the inner angles of a star .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.49
",some green trees are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.63
Vegetation 25.84
Artificial Surface front right Vegetation
",several buildings and green trees are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.87
",some green trees are near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.44
",a baseball field is near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.87
",four baseball fields are near many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.05
Vegetation 10.24
Artificial Surface behind Vegetation
",the baseball field covered with grass .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.20
",some white waves in an ocean are near a beach .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.73
Vegetation 29.10
Artificial Surface behind left Vegetation
",some buildings and green trees are near a beach .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.39
Markers & Obstacles 6.21
Artificial Surface behind left Markers & Obstacles
",some white waves in an ocean are near a beach .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.64
",white waves are between green ocean and white beach .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.80
Vegetation 6.27
Artificial Surface front right Vegetation
",white waves of ocean are next to white beach .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.72
",white waves are near yellow beach and green ocean .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.44
",the white beach beside the green water is very dry .,Write a short description of a remote sensing image with the following information.
